

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
055.658  000.300  000.035: require('mason')
055.738  000.044  000.044: require('mason-core.log')
055.739  000.080  000.036: require('mason-lspconfig')
056.096  000.033  000.033: require('luasnip.session')
056.101  000.079  000.046: require('luasnip.util.util')
056.148  000.047  000.047: require('luasnip.session.snippet_collection')
056.295  000.113  000.113: require('luasnip.util._builtin_vars')
056.353  000.204  000.091: require('luasnip.util.environ')
056.390  000.037  000.037: require('luasnip.util.extend_decorator')
056.456  000.031  000.031: require('luasnip.loaders._caches')
056.504  000.047  000.047: require('luasnip.util.path')
056.511  000.120  000.042: require('luasnip.loaders')
056.573  000.060  000.060: require('luasnip.util.log')
056.655  000.031  000.031: require('luasnip.util.types')
056.689  000.034  000.034: require('luasnip.util.ext_opts')
056.723  000.033  000.033: require('luasnip.extras.filetype_functions')
056.824  000.243  000.145: require('luasnip.config')
056.826  000.854  000.064: require('luasnip')
057.099  000.039  000.039: require('luasnip.loaders.util')
057.295  000.037  000.037: require('luasnip.nodes.util')
057.325  000.030  000.030: require('luasnip.util.events')
057.330  000.109  000.043: require('luasnip.nodes.node')
057.378  000.048  000.048: require('luasnip.nodes.insertNode')
057.429  000.050  000.050: require('luasnip.nodes.textNode')
057.470  000.039  000.039: require('luasnip.util.mark')
057.504  000.033  000.033: require('luasnip.util.pattern_tokenizer')
057.534  000.029  000.029: require('luasnip.util.dict')
057.550  000.380  000.071: require('luasnip.nodes.snippet')
057.659  000.036  000.036: require('luasnip.util.parser.neovim_ast')
057.694  000.034  000.034: require('luasnip.util.str')
058.102  000.033  000.033: require('luasnip.util.directed_graph')
058.105  000.518  000.415: require('luasnip.util.parser.ast_utils')
058.157  000.051  000.051: require('luasnip.nodes.functionNode')
058.212  000.053  000.053: require('luasnip.nodes.choiceNode')
058.257  000.044  000.044: require('luasnip.nodes.dynamicNode')
058.290  000.033  000.033: require('luasnip.util.functions')
058.293  000.742  000.043: require('luasnip.util.parser.ast_parser')
058.350  000.057  000.057: require('luasnip.util.parser.neovim_parser')
058.353  001.218  000.039: require('luasnip.util.parser')
058.355  001.254  000.036: require('luasnip.nodes.snippetProxy')
058.357  001.338  000.045: require('luasnip.loaders.from_vscode')
064.190  008.250  006.058: require('lsp-zero.snippets')
064.254  000.062  000.062: require('lsp-zero.nvim-cmp-setup')
067.910  000.157  000.157: require('vim.diagnostic')
068.166  000.049  000.049: require('mason-core.functional.list')
068.175  000.106  000.057: require('mason.api.command')
068.370  000.037  000.037: require('mason-lspconfig.settings')
068.413  000.042  000.042: require('mason-lspconfig.lspconfig_hook')
068.497  000.084  000.084: require('lspconfig.util')
068.594  000.044  000.044: require('mason-core.functional.table')
068.638  000.140  000.095: require('mason-lspconfig.mappings.server')
068.749  000.038  000.038: require('mason-core.async')
068.781  000.030  000.030: require('mason-core.async.uv')
068.784  000.108  000.040: require('mason-core.fs')
068.820  000.036  000.036: require('mason-core.optional')
068.852  000.031  000.031: require('mason-core.EventEmitter')
068.915  000.062  000.062: require('mason-registry.index')
068.919  000.280  000.043: require('mason-registry')
068.952  000.032  000.032: require('mason-lspconfig.server_config_extensions')
068.991  000.038  000.038: require('lspconfig.configs')
069.040  000.048  000.048: require('lspconfig.server_configurations.omnisharp')
069.140  000.033  000.033: require('mason-core.notify')
069.178  000.037  000.037: require('mason-core.functional.number')
069.187  000.122  000.052: require('mason-lspconfig.api.command')
069.251  000.029  000.029: require('lsp-zero.utils')
069.254  000.066  000.036: require('lsp-zero.state')
069.437  000.034  000.034: require('cmp_nvim_lsp.source')
069.438  000.073  000.038: require('cmp_nvim_lsp')
069.579  000.038  000.038: require('lspconfig')
069.653  000.073  000.073: require('lspconfig.server_configurations.texlab')
070.172  000.042  000.042: require('lspconfig.server_configurations.jedi_language_server')
070.646  000.104  000.104: require('lspconfig.server_configurations.eslint')
071.067  000.042  000.042: require('lspconfig.server_configurations.jsonls')
071.409  000.035  000.035: require('lspconfig.server_configurations.marksman')
071.680  000.041  000.041: require('lspconfig.server_configurations.tailwindcss')
071.998  000.042  000.042: require('lspconfig.server_configurations.sumneko_lua')
072.290  000.036  000.036: require('mason-lspconfig.ensure_installed')
072.411  000.037  000.037: require('mason-core.result')
072.551  000.065  000.065: require('mason-core.process')
072.631  000.180  000.115: require('mason-core.spawn')
072.669  000.036  000.036: require('mason-core.receipt')
072.712  000.040  000.040: require('mason-core.functional.string')
072.719  000.307  000.051: require('mason-core.installer.context')
072.753  000.034  000.034: require('mason-core.installer.linker')
072.788  000.033  000.033: require('mason-core.async.control')
072.790  000.457  000.046: require('mason-core.installer')
072.832  000.041  000.041: require('mason-core.installer.handle')
073.045  000.075  000.075: require('mason-core.managers.powershell')
073.046  000.111  000.036: require('mason-core.fetch')
073.047  000.141  000.030: require('mason-core.managers.cargo.client')
073.129  000.039  000.039: require('mason-core.managers.std')
073.202  000.036  000.036: require('mason-core.providers')
073.205  000.075  000.039: require('mason-core.managers.github.client')
073.208  000.160  000.046: require('mason-core.managers.github')
073.218  000.352  000.050: require('mason-core.managers.cargo')
073.271  000.053  000.053: require('mason-core.managers.composer')
073.312  000.040  000.040: require('mason-core.managers.gem')
073.347  000.035  000.035: require('mason-core.managers.git')
073.389  000.041  000.041: require('mason-core.managers.go')
073.433  000.043  000.043: require('mason-core.managers.luarocks')
073.485  000.051  000.051: require('mason-core.managers.npm')
073.526  000.041  000.041: require('mason-core.managers.pip3')
073.529  000.697  000.041: require('mason-core.package.version-check')
073.533  001.242  000.046: require('mason-core.package')
073.579  000.043  000.043: require('mason-registry.eslint-lsp')
073.656  000.061  000.061: require('mason-registry.lua-language-server')
073.698  000.035  000.035: require('mason-registry.jedi-language-server')
073.700  020.830  006.762: require('lsp')
073.701  067.597  000.270: sourcing /Users/frbarnes/.config/nvim/init.lua
073.717  002.361: sourcing vimrc file(s)
074.149  000.011  000.011: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
074.289  000.010  000.010: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
074.398  000.014  000.014: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/cls.vim
074.442  000.014  000.014: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/tex.vim
074.484  000.012  000.012: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/tikz.vim
074.740  000.760  000.699: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/filetype.lua
075.026  000.046  000.046: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/syntax/synload.vim
075.096  000.277  000.232: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/syntax/syntax.vim
076.758  000.084  000.084: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/gzip.vim
076.797  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/health.vim
077.328  000.091  000.091: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
077.422  000.595  000.504: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/matchit.vim
077.537  000.084  000.084: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/matchparen.vim
077.743  000.176  000.176: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/netrwPlugin.vim
077.889  000.008  000.008: sourcing /Users/frbarnes/.local/share/nvim/rplugin.vim
077.893  000.117  000.108: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/rplugin.vim
077.958  000.033  000.033: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/shada.vim
078.009  000.014  000.014: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/spellfile.vim
078.095  000.051  000.051: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/tarPlugin.vim
078.174  000.046  000.046: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/tohtml.vim
078.219  000.012  000.012: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/tutor.vim
078.327  000.072  000.072: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/zipPlugin.vim
080.444  001.990  001.990: sourcing /Users/frbarnes/.config/nvim/plugin/packer_compiled.lua
080.939  000.021  000.021: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/editorconfig.lua
081.000  000.025  000.025: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/man.lua
081.049  000.016  000.016: sourcing /opt/homebrew/Cellar/neovim/HEAD-5f3b76d/share/nvim/runtime/plugin/nvim.lua
081.068  002.969: loading rtp plugins
081.923  000.192  000.192: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/auto-pairs/plugin/auto-pairs.vim
082.836  000.065  000.065: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/lazygit.nvim/plugin/lazygit.vim
083.028  000.016  000.016: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/lsp-zero.nvim/plugin/lsp-zero.vim
083.346  000.102  000.102: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
083.543  000.026  000.026: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/lush.nvim/plugin/lush.vim
083.964  000.075  000.075: require('session_manager.subcommands')
083.975  000.107  000.032: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/neovim-session-manager/plugin/session_manager.lua
084.890  000.795  000.795: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nerdcommenter/plugin/nerdcommenter.vim
085.081  000.016  000.016: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nightfox.nvim/plugin/nightfox.vim
085.380  000.046  000.046: require('cmp.utils.highlight')
085.533  000.222  000.176: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
085.749  000.041  000.041: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
086.163  000.041  000.041: require('nvim-treesitter.info')
086.213  000.049  000.049: require('nvim-treesitter.shell_command_selectors')
086.223  000.164  000.074: require('nvim-treesitter.install')
086.259  000.036  000.036: require('nvim-treesitter.statusline')
086.302  000.042  000.042: require('nvim-treesitter.query_predicates')
086.303  000.290  000.048: require('nvim-treesitter')
086.455  000.468  000.178: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
086.597  000.022  000.022: sourcing /Users/frbarnes/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
